,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010
s001,0,13.6,12.9,3.9,21.8,31.7,19.6,4.9,21.8,8.2
s002,14.4,0,8.6,13.2,14.8,22.4,19.2,10.3,14.9,16.3
s003,10.9,6.6,0,9.7,14.8,24.7,16.3,6.8,14.8,12.4
s004,4.6,12.6,11.9,0,20.8,30.7,18.1,4.1,20.8,6.7
s005,21.0,13.5,15.2,19.8,0,16.7,22.9,16.9,0.0,22.9
s006,31.8,21.4,26.0,30.6,18.0,0,29.5,27.7,18.0,32.4
s007,18.2,14.7,13.9,16.2,22.9,29.7,0,14.8,22.9,12.0
s008,4.0,9.7,9.0,3.6,17.9,27.8,17.3,0,17.9,5.9
s009,21.0,13.5,15.2,19.8,0.0,16.7,22.9,16.9,0,22.9
s010,10.3,15.5,14.3,8.3,23.7,33.4,13.0,6.9,23.7,0
